#,クロマトグラム名,CH,Glucose,Propionate,Crotonate,Acetate,合計値,測定済みシーケンス,プロジェクト名,測定日時,コメント,サンプル名,サンプル コメント
1,学生実験_あり_DAY0_01班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 12:51:56,,,
2,学生実験_あり_DAY0_01班,2,13.513673,2.207130,0.000000,0.000000,15.720803,240610_TA,System_2_220829,2024/06/11 12:51:56,,,
3,学生実験_あり_DAY0_02班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 13:22:56,,,
4,学生実験_あり_DAY0_02班,2,13.185711,4.483160,0.000000,0.000000,17.668871,240610_TA,System_2_220829,2024/06/11 13:22:56,,,
5,学生実験_あり_DAY0_03班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 13:53:56,,,
6,学生実験_あり_DAY0_03班,2,14.632026,7.476807,0.000000,0.000000,22.108833,240610_TA,System_2_220829,2024/06/11 13:53:56,,,
7,学生実験_あり_DAY0_04班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 14:24:56,,,
8,学生実験_あり_DAY0_04班,2,13.034378,8.985404,0.000000,0.000000,22.019783,240610_TA,System_2_220829,2024/06/11 14:24:56,,,
9,学生実験_あり_DAY0_05班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 14:55:56,,,
10,学生実験_あり_DAY0_05班,2,14.917361,15.441202,0.000000,0.000000,30.358563,240610_TA,System_2_220829,2024/06/11 14:55:56,,,
11,学生実験_あり_DAY0_06班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 15:26:55,,,
12,学生実験_あり_DAY0_06班,2,14.776955,2.122272,0.000000,0.000000,16.899227,240610_TA,System_2_220829,2024/06/11 15:26:55,,,
13,学生実験_あり_DAY0_07班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 15:57:55,,,
14,学生実験_あり_DAY0_07班,2,13.854117,4.703022,0.000000,0.000000,18.557140,240610_TA,System_2_220829,2024/06/11 15:57:55,,,
15,学生実験_あり_DAY0_08班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 16:28:55,,,
16,学生実験_あり_DAY0_08班,2,12.531047,6.377086,0.000000,0.000000,18.908134,240610_TA,System_2_220829,2024/06/11 16:28:55,,,
17,学生実験_あり_DAY0_09班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 16:59:55,,,
18,学生実験_あり_DAY0_09班,2,12.556457,0.000000,0.000000,0.000000,12.556457,240610_TA,System_2_220829,2024/06/11 16:59:55,,,
19,学生実験_あり_DAY0_10班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 17:30:54,,,
20,学生実験_あり_DAY0_10班,2,14.547898,15.614180,0.000000,0.000000,30.162077,240610_TA,System_2_220829,2024/06/11 17:30:54,,,
21,学生実験_あり_DAY1_01班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 18:01:54,,,
22,学生実験_あり_DAY1_01班,2,15.337007,2.686920,0.000000,0.000000,18.023927,240610_TA,System_2_220829,2024/06/11 18:01:54,,,
23,学生実験_あり_DAY1_02班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 18:32:54,,,
24,学生実験_あり_DAY1_02班,2,11.393774,3.986822,0.000000,0.000000,15.380596,240610_TA,System_2_220829,2024/06/11 18:32:54,,,
25,学生実験_あり_DAY1_03班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 19:03:54,,,
26,学生実験_あり_DAY1_03班,2,12.830195,6.687515,0.000000,0.000000,19.517710,240610_TA,System_2_220829,2024/06/11 19:03:54,,,
27,学生実験_あり_DAY1_04班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 19:34:54,,,
28,学生実験_あり_DAY1_04班,2,18.025736,12.753286,0.000000,0.000000,30.779022,240610_TA,System_2_220829,2024/06/11 19:34:54,,,
29,学生実験_あり_DAY1_05班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 20:05:53,,,
30,学生実験_あり_DAY1_05班,2,12.696974,13.224110,0.000000,0.000000,25.921084,240610_TA,System_2_220829,2024/06/11 20:05:53,,,
31,学生実験_あり_DAY1_06班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 20:36:53,,,
32,学生実験_あり_DAY1_06班,2,13.755022,2.138486,0.000000,0.000000,15.893508,240610_TA,System_2_220829,2024/06/11 20:36:53,,,
33,学生実験_あり_DAY1_07班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 21:07:53,,,
34,学生実験_あり_DAY1_07班,2,13.811095,4.791414,0.000000,0.000000,18.602509,240610_TA,System_2_220829,2024/06/11 21:07:53,,,
35,学生実験_あり_DAY1_08班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 21:38:53,,,
36,学生実験_あり_DAY1_08班,2,12.277022,6.357016,0.000000,0.000000,18.634038,240610_TA,System_2_220829,2024/06/11 21:38:53,,,
37,学生実験_あり_DAY1_09班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 22:09:53,,,
38,学生実験_あり_DAY1_09班,2,12.448034,8.640533,0.000000,0.000000,21.088568,240610_TA,System_2_220829,2024/06/11 22:09:53,,,
39,学生実験_あり_DAY1_10班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 22:40:52,,,
40,学生実験_あり_DAY1_10班,2,14.935345,16.182240,0.000000,0.000000,31.117585,240610_TA,System_2_220829,2024/06/11 22:40:52,,,
41,学生実験_なし_DAY0_01班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 23:11:52,,,
42,学生実験_なし_DAY0_01班,2,12.209065,0.000000,0.000000,0.000000,12.209065,240610_TA,System_2_220829,2024/06/11 23:11:52,,,
43,学生実験_なし_DAY0_02班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/11 23:42:52,,,
44,学生実験_なし_DAY0_02班,2,11.827311,0.000000,0.000000,0.000000,11.827311,240610_TA,System_2_220829,2024/06/11 23:42:52,,,
45,学生実験_なし_DAY0_03班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 0:13:52,,,
46,学生実験_なし_DAY0_03班,2,12.473253,0.000000,0.000000,0.000000,12.473253,240610_TA,System_2_220829,2024/06/12 0:13:52,,,
47,学生実験_なし_DAY0_04班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 0:44:51,,,
48,学生実験_なし_DAY0_04班,2,10.985707,0.000000,0.000000,0.000000,10.985707,240610_TA,System_2_220829,2024/06/12 0:44:51,,,
49,学生実験_なし_DAY0_05班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 1:15:51,,,
50,学生実験_なし_DAY0_05班,2,13.158368,0.000000,0.000000,0.000000,13.158368,240610_TA,System_2_220829,2024/06/12 1:15:51,,,
